Date,Open,High,Low,Close,Adj Close,Volume
2013-05-09,13.750000,13.800000,13.400000,13.450000,11.908655,120696000
2013-05-10,13.550000,13.550000,13.250000,13.250000,11.731575,99363000
2013-05-13,13.250000,13.400000,13.150000,13.350000,11.820116,71821000
2013-05-14,13.450000,13.550000,13.350000,13.350000,11.820116,101216000
2013-05-15,13.600000,13.700000,13.450000,13.650000,12.085735,102067000
2013-05-16,13.750000,14.050000,13.700000,13.700000,12.130007,197510000
2013-05-17,13.750000,13.800000,13.500000,13.500000,11.952927,68309000
2013-05-20,13.500000,13.600000,13.450000,13.500000,11.952927,39545000
2013-05-21,13.600000,13.900000,13.550000,13.700000,12.130007,112149000
2013-05-22,13.750000,14.150000,13.600000,14.000000,12.395627,194754000
2013-05-23,13.850000,13.950000,13.600000,13.600000,12.041468,176717000
2013-05-24,13.650000,13.800000,13.600000,13.650000,12.085735,100550000
2013-05-27,13.750000,13.950000,13.700000,13.900000,12.307086,61347000
2013-05-28,13.950000,14.050000,13.750000,13.800000,12.218548,65464000
2013-05-29,13.950000,14.100000,13.850000,14.000000,12.395627,105738000
2013-05-30,13.800000,13.900000,13.550000,13.600000,12.041468,101134000
2013-05-31,13.850000,13.900000,13.600000,13.800000,12.218548,99286000
2013-06-03,13.550000,13.650000,13.500000,13.500000,11.952927,65429000
2013-06-04,13.500000,13.600000,13.200000,13.200000,11.687305,85945000
2013-06-05,13.000000,13.200000,12.650000,12.650000,11.200334,125829000
2013-06-06,12.550000,12.800000,12.500000,12.800000,11.333144,82270000
2013-06-07,12.900000,12.900000,12.300000,12.300000,10.890444,79651000
2013-06-10,12.750000,12.800000,12.550000,12.650000,11.200334,67478000
2013-06-11,12.600000,12.850000,12.500000,12.850000,11.377416,53903000
2013-06-13,12.800000,12.800000,12.400000,12.400000,10.978984,62674000
2013-06-14,12.500000,12.550000,12.200000,12.300000,10.890444,64162000
2013-06-17,12.200000,12.400000,12.150000,12.150000,10.757633,48845000
2013-06-18,12.150000,12.400000,12.050000,12.250000,10.846173,74936000
2013-06-19,12.300000,12.400000,12.100000,12.150000,10.757633,43779000
2013-06-20,12.000000,12.000000,11.300000,11.400000,10.093582,137862000
2013-06-21,10.750000,10.950000,10.650000,10.900000,9.650882,168898000
2013-06-24,10.800000,11.000000,10.300000,10.300000,9.119639,145626000
2013-06-25,10.300000,10.450000,10.100000,10.100000,8.942560,112720000
2013-06-26,10.450000,10.500000,10.200000,10.200000,9.031099,103758000
2013-06-27,10.400000,10.850000,10.350000,10.700000,9.473801,127783000
2013-06-28,10.750000,10.900000,10.600000,10.900000,9.650882,66091000
2013-07-01,10.900000,11.400000,10.750000,11.150000,9.872231,115965000
2013-07-02,11.250000,11.250000,10.900000,10.900000,9.650882,60106000
2013-07-03,10.900000,11.050000,10.450000,10.450000,9.252451,95445000
2013-07-04,10.450000,10.600000,10.350000,10.400000,9.208179,44479000
2013-07-05,10.600000,10.800000,10.500000,10.650000,9.429531,52735000
2013-07-08,10.700000,10.750000,10.350000,10.350000,9.163910,44423000
2013-07-09,10.400000,10.550000,10.350000,10.500000,9.296720,35210000
2013-07-10,10.700000,10.900000,10.550000,10.650000,9.429531,77027000
2013-07-11,10.750000,10.900000,10.700000,10.850000,9.606611,55052000
2013-07-12,10.800000,10.900000,10.750000,10.850000,9.606611,48448000
2013-07-15,10.850000,11.100000,10.850000,11.000000,9.739421,61893000
2013-07-16,11.150000,11.300000,11.050000,11.200000,9.916501,64685000
2013-07-17,11.200000,11.300000,10.900000,10.900000,9.650882,60532000
2013-07-18,10.650000,10.650000,10.250000,10.400000,9.208179,137221000
2013-07-19,10.300000,10.500000,10.150000,10.450000,9.252451,83742000
2013-07-22,10.700000,10.900000,10.650000,10.650000,9.429531,84749000
2013-07-23,10.750000,10.800000,10.550000,10.800000,9.562341,70080000
2013-07-24,10.700000,10.800000,10.600000,10.650000,9.429531,29287000
2013-07-25,10.650000,10.750000,10.550000,10.650000,9.429531,25574000
2013-07-26,10.700000,10.800000,10.650000,10.700000,9.473801,26629000
2013-07-29,10.750000,10.900000,10.650000,10.700000,9.473801,29146000
2013-07-30,10.800000,10.950000,10.650000,10.950000,9.695150,55463000
2013-07-31,11.050000,11.050000,10.600000,10.600000,9.385261,75288000
2013-08-01,11.100000,11.300000,11.000000,11.300000,10.005043,156733000
2013-08-02,11.550000,11.550000,11.000000,11.000000,9.739421,132436000
2013-08-05,11.100000,11.200000,11.000000,11.150000,9.872231,39859000
2013-08-06,10.950000,11.050000,10.850000,10.900000,9.650882,48131000
2013-08-07,10.850000,10.900000,10.700000,10.700000,9.473801,51974000
2013-08-08,10.800000,10.850000,10.700000,10.700000,9.473801,37265000
2013-08-09,10.750000,10.850000,10.500000,10.550000,9.340990,45959000
2013-08-12,10.650000,10.700000,10.500000,10.700000,9.473801,29231000
2013-08-13,10.800000,10.850000,10.650000,10.850000,9.606611,42265000
2013-08-14,10.850000,10.900000,10.700000,10.850000,9.606611,39767000
2013-08-15,10.800000,11.300000,10.750000,11.100000,9.827963,132742000
2013-08-16,11.200000,11.400000,11.100000,11.350000,10.049312,141158000
2013-08-19,11.350000,11.450000,11.200000,11.200000,9.916501,58951000
2013-08-20,11.200000,11.400000,11.150000,11.200000,9.916501,61514000
2013-08-22,11.100000,11.400000,11.000000,11.400000,10.093582,63324000
2013-08-23,11.600000,11.700000,11.450000,11.650000,10.314932,107808000
