Date,Open,High,Low,Close,Adj Close,Volume
2013-03-19,3.380000,3.450000,3.350000,3.400000,3.001417,50135400
2013-03-20,3.420000,3.470000,3.390000,3.450000,3.045556,38049400
2013-03-21,3.380000,3.480000,3.380000,3.450000,3.045556,41930900
2013-03-22,3.400000,3.450000,3.310000,3.330000,2.939623,44608800
2013-03-25,3.290000,3.290000,3.190000,3.260000,2.877829,44264000
2013-03-26,3.280000,3.330000,3.270000,3.300000,2.913140,20849700
2013-03-27,3.270000,3.340000,3.270000,3.340000,2.948451,33441600
2013-03-28,3.290000,3.330000,3.260000,3.280000,2.895484,35469400
2013-04-01,3.300000,3.320000,3.250000,3.260000,2.877829,17051000
2013-04-02,3.230000,3.280000,3.210000,3.260000,2.877829,29894500
2013-04-03,3.290000,3.380000,3.270000,3.370000,2.974934,43190900
2013-04-04,3.390000,3.400000,3.320000,3.380000,2.983762,36519800
2013-04-05,3.380000,3.390000,3.320000,3.340000,2.948451,21996400
2013-04-08,3.310000,3.340000,3.280000,3.290000,2.904312,20091800
2013-04-09,3.310000,3.390000,3.300000,3.370000,2.974934,17064100
2013-04-10,3.410000,3.570000,3.400000,3.520000,3.107349,62872600
2013-04-11,3.520000,3.530000,3.460000,3.480000,3.072039,24780100
2013-04-12,3.490000,3.510000,3.430000,3.490000,3.080866,18154500
2013-04-15,3.430000,3.450000,3.330000,3.330000,2.939623,32233700
2013-04-16,3.460000,3.480000,3.400000,3.440000,3.036728,16832400
2013-04-17,3.470000,3.630000,3.430000,3.580000,3.160316,54824000
2013-04-18,3.220000,3.260000,3.110000,3.170000,2.798380,130024600
2013-04-19,3.090000,3.110000,3.020000,3.070000,2.710103,57174800
2013-04-22,3.100000,3.210000,3.080000,3.150000,2.780724,44087600
2013-04-23,3.140000,3.210000,3.130000,3.160000,2.789552,21490600
2013-04-24,3.160000,3.220000,3.150000,3.200000,2.824863,27872500
2013-04-25,3.220000,3.350000,3.210000,3.300000,2.913140,35548300
2013-04-26,3.290000,3.330000,3.250000,3.250000,2.869001,21607700
2013-04-29,3.300000,3.350000,3.300000,3.320000,2.930795,28091200
2013-04-30,3.340000,3.400000,3.320000,3.380000,2.983762,22174600
2013-05-01,3.380000,3.390000,3.340000,3.340000,2.948451,12808200
2013-05-02,3.290000,3.310000,3.250000,3.260000,2.877829,21301100
2013-05-03,3.320000,3.350000,3.290000,3.300000,2.913140,21986800
2013-05-06,3.400000,3.440000,3.370000,3.400000,3.001417,26755000
2013-05-07,3.550000,3.590000,3.450000,3.500000,3.089694,40445900
2013-05-08,3.540000,3.600000,3.510000,3.520000,3.107349,25576400
2013-05-09,3.580000,3.610000,3.530000,3.550000,3.133832,25528900
2013-05-10,3.650000,3.660000,3.620000,3.660000,3.230937,24115200
